200906010101,1,8,16,コスモオー,牡3,56.0,松岡,1:12.3,,1,2.1,38.2,5-3,美浦稲葉,532(+6)
200906010101,2,1,1,アクセルボーイ,牡3,55.0,☆三浦,1:13.0,4,4,10.6,39.1,1-1,美浦伊藤圭,462(-6)
200906010101,3,8,15,エアラスティング,牡3,56.0,藤田,1:13.2,3/4,3,4.4,39.2,3-2,美浦田村,480(+2)
200906010101,4,3,5,ディパーチャーズ,牡3,56.0,横山典,1:13.3,1/2,2,4.1,38.2,6-5,美浦古賀史,450(0)
200906010101,5,7,14,ヴェリーハード,牡3,56.0,内田博,1:13.8,3,5,11.8,38.7,6-7,美浦秋山,490(+16)
200906010101,6,4,7,フレアリングローズ,牝3,54.0,郷原,1:14.3,3,6,20.8,38.9,11-9,美浦本郷,476(0)
200906010101,7,3,6,トーホーグロリア,牡3,56.0,後藤,1:15.1,5,9,86.9,39.9,6-9,美浦南田,410(-10)
200906010101,8,7,13,オースチンエブリン,牝3,54.0,高山,1:15.3,1,16,359.1,39.9,11-12,美浦佐藤全,444(+8)
200906010101,9,5,9,ミスニューヨーク,牝3,52.0,△丸田,1:15.3,クビ,13,197.9,40.2,6-8,美浦谷原,458(0)
200906010101,10,2,4,リニアラピート,牡3,56.0,武士沢,1:15.6,2,11,149.3,39.2,15-15,美浦小桧山,476(-8)
200906010101,11,2,3,オースミシリング,牡3,56.0,江田照,1:16.1,3,10,142.9,38.9,16-16,美浦菅原,430(+2)
200906010101,12,4,8,サキノキングオー,牡3,56.0,大野,1:16.2,1/2,15,317.0,40.8,11-12,美浦大和田,460(0)
200906010101,13,1,2,ミツアキフレンド,牡3,56.0,二本柳,1:16.3,3/4,14,300.6,40.4,14-14,美浦二本柳,460(-4)
200906010101,14,6,12,アバトルマーゴ,牝3,51.0,▲宮崎,1:17.0,4,8,56.8,41.9,6-9,美浦武藤,430(-12)
200906010101,15,5,10,ホーザンアテナ,牝3,54.0,西田,1:17.2,3/4,7,53.3,43.3,2-4,美浦沢,426(0)
200906010101,16,6,11,ウィンクキス,牝3,54.0,石橋脩,1:18.0,5,12,151.9,44.0,3-6,美浦和田,462(+10)
200906010102,1,4,8,スターリバイバル,牡3,56.0,吉田豊,1:56.6,,1,1.6,39.8,1-1-1-1,美浦境征,504(0)
